Month,Day,Year,SurveyDay,Trapline,Row,TrapNum,Species,Mass,Sex,RepCon,TagNum
5,18,2017,1,4,C,6,CLEAR,.,.,.,.
5,19,2017,2,4,A,1,CLEAR,.,.,.,.
5,19,2017,2,4,A,2,CLEAR,.,.,.,.
5,19,2017,2,4,A,3,CLEAR,.,.,.,.
5,19,2017,2,4,A,4,CLEAR,.,.,.,.
5,19,2017,2,4,A,5,CLEAR,.,.,.,.
5,19,2017,2,4,A,6,CLEAR,.,.,.,.
5,19,2017,2,4,B,1,CLEAR,.,.,.,.
5,19,2017,2,4,B,2,CLEAR,.,.,.,.
5,19,2017,2,4,B,3,CLEAR,.,.,.,.
5,19,2017,2,4,B,4,CLEAR,.,.,.,.
5,19,2017,2,4,B,5,CLEAR,.,.,.,.
5,19,2017,2,4,B,6,CLEAR,.,.,.,.
5,19,2017,2,4,C,1,CLEAR,.,.,.,.
5,19,2017,2,4,C,2,CLEAR,.,.,.,.
5,19,2017,2,4,C,3,CLEAR,.,.,.,.
5,19,2017,2,4,C,4,CLEAR,.,.,.,.
5,19,2017,2,4,C,5,CLEAR,.,.,.,.
5,19,2017,2,4,C,6,CLEAR,.,.,.,.
5,20,2017,3,4,A,1,CLEAR,.,.,.,.
5,20,2017,3,4,A,2,CLEAR,.,.,.,.
5,20,2017,3,4,A,3,CLEAR,.,.,.,.
5,20,2017,3,4,A,4,CLEAR,.,.,.,.
5,20,2017,3,4,A,5,CLEAR,.,.,.,.
5,20,2017,3,4,A,6,CLEAR,.,.,.,.
5,20,2017,3,4,B,1,CLEAR,.,.,.,.
5,20,2017,3,4,B,2,CLEAR,.,.,.,.
5,20,2017,3,4,B,3,CLEAR,.,.,.,.
5,20,2017,3,4,B,4,CLEAR,.,.,.,.
5,20,2017,3,4,B,5,ST,.,.,.,.
5,20,2017,3,4,B,6,CLEAR,.,.,.,.
5,20,2017,3,4,C,1,CLEAR,.,.,.,.
5,20,2017,3,4,C,2,CLEAR,.,.,.,.
5,20,2017,3,4,C,3,CLEAR,.,.,.,.
5,20,2017,3,4,C,4,CLEAR,.,.,.,.
5,20,2017,3,4,C,5,R,.,.,.,.
5,20,2017,3,4,C,6,CLEAR,.,.,.,.
5,18,2017,1,5,A,1,CLEAR,.,.,.,.
5,18,2017,1,5,A,2,ST,.,.,.,.
5,18,2017,1,5,A,3,CLEAR,.,.,.,.
5,18,2017,1,5,A,4,CLEAR,.,.,.,.
5,18,2017,1,5,A,5,CLEAR,.,.,.,.
5,18,2017,1,5,A,6,CLEAR,.,.,.,.
5,18,2017,1,5,B,1,CLEAR,.,.,.,.
5,18,2017,1,5,B,2,CLEAR,.,.,.,.
5,18,2017,1,5,B,3,CLEAR,.,.,.,.
5,18,2017,1,5,B,4,CLEAR,.,.,.,.
5,18,2017,1,5,B,5,CLEAR,.,.,.,.
5,18,2017,1,5,B,6,CLEAR,.,.,.,.
5,18,2017,1,5,C,1,CLEAR,.,.,.,.
5,18,2017,1,5,C,2,CLEAR,.,.,.,.
